Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Towards a Quality Model for Cloud-native Applications","Service-Oriented and Cloud Computing","","","","10.1007/978-3-031-04718-3_7","Robin LichtenthälerGuido Wirtz","2022","http://link.springer.com/chapter/10.1007/978-3-031-04718-3_7","Chapter"
"Towards Greener Applications: Enabling Sustainable-aware Cloud Native Applications Design","Advanced Information Systems Engineering","","","","10.1007/978-3-031-07472-1_6","Monica Vitali","2022","http://link.springer.com/chapter/10.1007/978-3-031-07472-1_6","Chapter"
"Cloud Native Privacy Engineering through DevPrivOps","Privacy and Identity Management. Between Data Protection and Security","","","","10.1007/978-3-030-99100-5_10","Elias Grünewald","2022","http://link.springer.com/chapter/10.1007/978-3-030-99100-5_10","Chapter"
"Evolution of MANO Towards the Cloud-Native Paradigm for the Edge Computing","Advanced Computing and Intelligent Technologies","","","","10.1007/978-981-19-2980-9_1","Alejandro Fornés-LealIgnacio LacalleRafael VañoCarlos E. PalauFernando BoronatMaria GanzhaMarcin Paprzycki","2022","http://link.springer.com/chapter/10.1007/978-981-19-2980-9_1","Chapter"
"Performance Curve Profiling and Gated Recurrent Unit Based State Detection for Cloud Native Microservices","Service Science","","","","10.1007/978-981-99-4402-6_19","Xu JiangZhicheng Cai","2023","http://link.springer.com/chapter/10.1007/978-981-99-4402-6_19","Chapter"
"Optimization Design of Privacy Protection System Based on Cloud Native","Advances in Artificial Intelligence and Security","","","","10.1007/978-3-031-06761-7_48","Yifan ZhangShuli ZhangChengyun GuoLuogang ZhangYinggang SunHai Huang","2022","http://link.springer.com/chapter/10.1007/978-3-031-06761-7_48","Chapter"
"Multi-objective Hybrid Autoscaling of Microservices in Kubernetes Clusters","Euro-Par 2022: Parallel Processing","","","","10.1007/978-3-031-12597-3_15","Angelina HornHamid Mohammadi FardFelix Wolf","2022","http://link.springer.com/chapter/10.1007/978-3-031-12597-3_15","Chapter"
"End-to-End Test Coverage Metrics in Microservice Systems: An Automated Approach","Service-Oriented and Cloud Computing","","","","10.1007/978-3-031-46235-1_3","Amr S. AbdelfattahTomas CernyJorge Yero SalazarAustin LehmanJoshua HunterAshley BickhamDavide Taibi","2023","http://link.springer.com/chapter/10.1007/978-3-031-46235-1_3","Chapter"
"Construction Practice of Cloud Billing Message Based on Stream Native","Smart Computing and Communication","","","","10.1007/978-3-031-28124-2_40","Xiaoli HuangAndi LiuYizhong LiuLi LiZhenglin LvFan Wang","2023","http://link.springer.com/chapter/10.1007/978-3-031-28124-2_40","Chapter"
"Decentralized Access Control for Secure Microservices Cooperation with Blockchain","Network and System Security","","","","10.1007/978-3-031-23020-2_34","Ning XiYajie LiJin Liu","2022","http://link.springer.com/chapter/10.1007/978-3-031-23020-2_34","Chapter"
"MicroCBR: Case-Based Reasoning on Spatio-temporal Fault Knowledge Graph for Microservices Troubleshooting","Case-Based Reasoning Research and Development","","","","10.1007/978-3-031-14923-8_15","Fengrui LiuYang WangZhenyu LiRui RenHongtao GuanXian YuXiaofan ChenGaogang Xie","2022","http://link.springer.com/chapter/10.1007/978-3-031-14923-8_15","Chapter"
"Engineering Self-adaptive Microservice Applications: An Experience Report","Service-Oriented Computing","","","","10.1007/978-3-031-48421-6_16","Vincenzo RiccioGiancarlo SorrentinoMatteo CamilliRaffaela MirandolaPatrizia Scandurra","2023","http://link.springer.com/chapter/10.1007/978-3-031-48421-6_16","Chapter"
"Encryption Proxies in a Confidential Computing Environment","Ubiquitous Security","","","","10.1007/978-981-99-0272-9_25","Mohamad Jamil Al BouhairiMostakim MullickMarvin WolfIvan GudymenkoSebastian Clauss","2023","http://link.springer.com/chapter/10.1007/978-981-99-0272-9_25","Chapter"
"Migration Strategies and Refactoring Methodology When Moving a Legacy ERP System to Cloud Platform","Distributed Sensing and Intelligent Systems","","","","10.1007/978-3-030-64258-7_19","Majda El MariouliJalal Laassiri","2022","http://link.springer.com/chapter/10.1007/978-3-030-64258-7_19","Chapter"
"Model Based Migration of Cloud Systems: Review and Roadmap","Computational Science and Its Applications – ICCSA 2022","","","","10.1007/978-3-031-10522-7_18","Jaleleddine HajlaouiZied TrifaZaki Brahmi","2022","http://link.springer.com/chapter/10.1007/978-3-031-10522-7_18","Chapter"
"Phi: A Generic Microservices-Based Big Data Architecture","Information Systems","","","","10.1007/978-3-030-95947-0_1","Amine MaamouriLilia SfaxiRiadh Robbana","2022","http://link.springer.com/chapter/10.1007/978-3-030-95947-0_1","Chapter"
"SMT-Based Planning Synthesis for Distributed System Reconfigurations","Fundamental Approaches to Software Engineering","","","","10.1007/978-3-030-99429-7_15","Simon RobillardHélène Coullon","2022","http://link.springer.com/chapter/10.1007/978-3-030-99429-7_15","Chapter"
